District,Crop,Season,Start_Year,Area_Hectare,Production,Yield,Previous_Yield,NDVI_Mean,NDVI_Max,NDVI_Min,Weather_Months_Available,Temperature_C,TMin_C,TMax_C,Precipitation_mm_day,WindSpeed_m_s,Humidity_pct,RootSoilWetness,SurfaceSoilWetness,Irradiance_kWh_m2_day,NDVI_Mean_was_imputed,NDVI_Max_was_imputed,NDVI_Min_was_imputed,Weather_Confidence
Ratnagiri,Other Kharif pulses,Kharif,2021,313.36,163.01,0.52,0.52,0.4009920640763048,0.649596034757033,0.2537155251933066,5,27.7093311827957,26.968845161290325,28.546987096774195,12.38374623655914,4.296866666666667,83.91389032258066,0.8781569892473119,0.8563698924731182,15.439724731182796,True,False,True,medium
Ratnagiri,Other Kharif pulses,Kharif,2022,39.0,22.0,0.56,0.52,0.4009920640763048,0.7257634755995672,0.2537155251933066,5,27.38471827956989,26.585967741935484,28.281593548387093,11.39762365591398,4.633258064516129,83.93991182795699,0.8444494623655914,0.8220602150537634,15.473526881720431,True,False,True,medium
Ratnagiri,Other Summer Pulses,Summer,2021,155.61,54.47,0.35,,0.4186081643122462,0.437526569023053,0.3996897596014395,2,29.79989247311828,28.272978494623658,31.86162365591398,5.02539247311828,3.739086021505377,71.63345161290323,0.4239784946236559,0.3660322580645161,22.34386559139785,False,False,False,low
Ratnagiri,Other Summer Pulses,Summer,2022,62.78,30.1,0.48,0.35,0.4286504442701104,0.4361907258677927,0.4211101626724281,2,29.770913978494622,28.279026881720437,31.95051612903226,0.8518709677419354,3.5803978494623654,72.34541397849463,0.3754946236559139,0.2953548387096774,21.46997311827957,False,False,False,low
Ratnagiri,Ragi,Kharif,2020,10355.83,14967.96,1.45,,0.366957985075254,0.6356003227814048,0.2878671519862098,5,27.713675268817205,27.09429247311828,28.42327096774193,15.669382795698922,4.348838709677419,85.35770537634407,0.91867311827957,0.8881376344086022,14.553421505376344,True,False,True,medium
Ratnagiri,Ragi,Kharif,2021,10282.82,17432.46,1.7,1.45,0.366957985075254,0.649596034757033,0.2878671519862098,5,27.7093311827957,26.968845161290325,28.546987096774195,12.38374623655914,4.296866666666667,83.91389032258066,0.8781569892473119,0.8563698924731182,15.439724731182796,True,False,True,medium
Ratnagiri,Ragi,Kharif,2022,10050.0,14141.0,1.41,1.7,0.366957985075254,0.7257634755995672,0.2878671519862098,5,27.38471827956989,26.585967741935484,28.281593548387093,11.39762365591398,4.633258064516129,83.93991182795699,0.8444494623655914,0.8220602150537634,15.473526881720431,True,False,True,medium
Ratnagiri,Rice,Kharif,2020,75842.08,213611.59,2.82,,0.42158207299695205,0.6356003227814048,0.2723615137428504,5,27.713675268817205,27.09429247311828,28.42327096774193,15.669382795698922,4.348838709677419,85.35770537634407,0.91867311827957,0.8881376344086022,14.553421505376344,True,False,True,medium
Ratnagiri,Rice,Kharif,2021,77223.45,221160.16,2.86,2.82,0.42158207299695205,0.649596034757033,0.2723615137428504,5,27.7093311827957,26.968845161290325,28.546987096774195,12.38374623655914,4.296866666666667,83.91389032258066,0.8781569892473119,0.8563698924731182,15.439724731182796,True,False,True,medium
Ratnagiri,Rice,Kharif,2022,69190.23,206440.0,2.98,2.86,0.42158207299695205,0.7257634755995672,0.2723615137428504,5,27.38471827956989,26.585967741935484,28.281593548387093,11.39762365591398,4.633258064516129,83.93991182795699,0.8444494623655914,0.8220602150537634,15.473526881720431,True,False,True,medium
Ratnagiri,Rice,Summer,2020,14.0,27.4,1.96,,0.4256335010060319,0.4446990183759553,0.4065679836361085,2,29.826155913978496,28.08090322580645,32.30422580645161,0.6654892473118279,4.077349462365591,72.23805913978495,0.3708064516129032,0.2680376344086022,24.34478494623656,False,False,False,low
Ratnagiri,Rice,Summer,2021,14.0,37.59,2.69,1.96,0.4186081643122462,0.437526569023053,0.3996897596014395,2,29.79989247311828,28.272978494623658,31.86162365591398,5.02539247311828,3.739086021505377,71.63345161290323,0.4239784946236559,0.3660322580645161,22.34386559139785,False,False,False,low
Ratnagiri,Rice,Summer,2022,10.5,37.5,3.57,2.69,0.4286504442701104,0.4361907258677927,0.4211101626724281,2,29.770913978494622,28.279026881720437,31.95051612903226,0.8518709677419354,3.5803978494623654,72.34541397849463,0.3754946236559139,0.2953548387096774,21.46997311827957,False,False,False,low
Ratnagiri,Sesamum,Kharif,2020,35.16,10.43,0.3,,0.4114655664617643,0.6356003227814048,0.2447657245745562,5,27.713675268817205,27.09429247311828,28.42327096774193,15.669382795698922,4.348838709677419,85.35770537634407,0.91867311827957,0.8881376344086022,14.553421505376344,True,False,True,medium
Ratnagiri,Sesamum,Kharif,2021,16.89,3.22,0.19,0.3,0.4114655664617643,0.649596034757033,0.2447657245745562,5,27.7093311827957,26.968845161290325,28.546987096774195,12.38374623655914,4.296866666666667,83.91389032258066,0.8781569892473119,0.8563698924731182,15.439724731182796,True,False,True,medium
Ratnagiri,Sesamum,Kharif,2022,16.94,5.78,0.34,0.19,0.4114655664617643,0.7257634755995672,0.2447657245745562,5,27.38471827956989,26.585967741935484,28.281593548387093,11.39762365591398,4.633258064516129,83.93991182795699,0.8444494623655914,0.8220602150537634,15.473526881720431,True,False,True,medium
Ratnagiri,Sesamum,Rabi,2020,3.65,1.87,0.51,,0.5236882732264142,0.6379384414536663,0.4183667908090941,5,27.462110906298005,25.053883410138248,30.37455698924731,0.1617440860215053,3.4024546850998463,68.07887496159753,0.534621351766513,0.4899219662058371,19.265515514592938,False,False,False,medium
Ratnagiri,Sugarcane,Whole Year,2022,19.0,1523.8,80.2,,0.3730108423266771,0.7257634755995672,0.20171800959583375,12,27.432710765488988,25.80945660522273,29.420817972350235,4.918459869431644,3.9650042882744487,76.05414471326164,0.619516577060932,0.5838543266769073,17.9597568484383,True,False,True,high
Ratnagiri,Sunflower,Rabi,2020,6.53,2.55,0.39,,0.5236882732264142,0.6379384414536663,0.4183667908090941,5,27.462110906298005,25.053883410138248,30.37455698924731,0.1617440860215053,3.4024546850998463,68.07887496159753,0.534621351766513,0.4899219662058371,19.265515514592938,False,False,False,medium
Ratnagiri,Urad,Kharif,2020,42.0,14.23,0.34,,0.4114655664617643,0.6356003227814048,0.241067837336053,5,27.713675268817205,27.09429247311828,28.42327096774193,15.669382795698922,4.348838709677419,85.35770537634407,0.91867311827957,0.8881376344086022,14.553421505376344,True,False,True,medium
Ratnagiri,Urad,Kharif,2021,17.81,9.54,0.54,0.34,0.4114655664617643,0.649596034757033,0.241067837336053,5,27.7093311827957,26.968845161290325,28.546987096774195,12.38374623655914,4.296866666666667,83.91389032258066,0.8781569892473119,0.8563698924731182,15.439724731182796,True,False,True,medium
Ratnagiri,Urad,Summer,2021,0.1,0.05,0.54,,0.4186081643122462,0.437526569023053,0.3996897596014395,2,29.79989247311828,28.272978494623658,31.86162365591398,5.02539247311828,3.739086021505377,71.63345161290323,0.4239784946236559,0.3660322580645161,22.34386559139785,False,False,False,low
Ratnagiri,Urad,Summer,2022,0.9,0.49,0.54,0.54,0.4286504442701104,0.4361907258677927,0.4211101626724281,2,29.770913978494622,28.279026881720437,31.95051612903226,0.8518709677419354,3.5803978494623654,72.34541397849463,0.3754946236559139,0.2953548387096774,21.46997311827957,False,False,False,low
Ratnagiri,other oilseeds,Kharif,2020,8.0,2.28,0.29,,0.4009920640763048,0.6356003227814048,0.2492406248839314,5,27.713675268817205,27.09429247311828,28.42327096774193,15.669382795698922,4.348838709677419,85.35770537634407,0.91867311827957,0.8881376344086022,14.553421505376344,True,False,True,medium
Ratnagiri,other oilseeds,Kharif,2021,12.0,4.0,0.33,0.29,0.4009920640763048,0.649596034757033,0.2492406248839314,5,27.7093311827957,26.968845161290325,28.546987096774195,12.38374623655914,4.296866666666667,83.91389032258066,0.8781569892473119,0.8563698924731182,15.439724731182796,True,False,True,medium
Ratnagiri,other oilseeds,Kharif,2022,0.3,0.09,0.31,0.33,0.4009920640763048,0.7257634755995672,0.2492406248839314,5,27.38471827956989,26.585967741935484,28.281593548387093,11.39762365591398,4.633258064516129,83.93991182795699,0.8444494623655914,0.8220602150537634,15.473526881720431,True,False,True,medium
Ratnagiri,other oilseeds,Rabi,2020,166.76,107.89,0.65,,0.5236882732264142,0.6379384414536663,0.4183667908090941,5,27.462110906298005,25.053883410138248,30.37455698924731,0.1617440860215053,3.4024546850998463,68.07887496159753,0.534621351766513,0.4899219662058371,19.265515514592938,False,False,False,medium
Ratnagiri,other oilseeds,Rabi,2021,72.73,28.0,0.38,0.65,0.5355361921351104,0.6397837371706513,0.4476648344014651,5,26.538013364055296,24.47094746543779,29.08565130568356,1.3377961597542245,3.2606253456221195,70.75663763440859,0.5526247311827958,0.534205222734255,18.653932565284176,False,False,False,medium
Ratnagiri,other oilseeds,Rabi,2022,65.22,43.37,0.66,0.38,0.5369173892931727,0.6548492289791329,0.4115655653589991,5,27.011949615975418,24.139041321044548,30.512329032258062,0.0739454685099846,3.628613824884793,65.86196666666666,0.4493860215053763,0.3686104454685101,19.582847311827955,False,False,False,medium
Ratnagiri,other oilseeds,Summer,2022,0.7,0.43,0.61,,0.4286504442701104,0.4361907258677927,0.4211101626724281,2,29.770913978494622,28.279026881720437,31.95051612903226,0.8518709677419354,3.5803978494623654,72.34541397849463,0.3754946236559139,0.2953548387096774,21.46997311827957,False,False,False,low
Sangli,Arhar/Tur,Kharif,2020,10588.18,6293.07,0.59,,0.4114655664617643,0.4842814052968083,0.241067837336053,5,24.018208602150537,21.483017204301078,27.61881290322581,10.206389247311828,3.5106516129032257,87.60144086021505,0.8656537634408601,0.8681612903225806,15.190163440860218,True,False,True,medium
Sangli,Arhar/Tur,Kharif,2021,11929.24,7360.34,0.62,0.59,0.4114655664617643,0.4489374644937754,0.241067837336053,5,23.831307526881723,21.12375483870968,27.62827741935484,8.992376344086022,3.5896838709677423,86.94455053763441,0.848389247311828,0.8534021505376345,15.845443010752687,True,False,True,medium
Sangli,Arhar/Tur,Kharif,2022,9941.0,7009.0,0.71,0.62,0.4114655664617643,0.5325489343282269,0.241067837336053,5,23.75626021505376,20.91259139784946,27.86096129032258,8.402746236559139,3.583496774193548,85.26267956989247,0.8287204301075268,0.8284301075268818,15.576062365591396,True,False,True,medium
Sangli,Bajra,Kharif,2020,60022.97,59992.64,1.0,,0.3910617756159833,0.4842814052968083,0.21228181914333283,5,24.018208602150537,21.483017204301078,27.61881290322581,10.206389247311828,3.5106516129032257,87.60144086021505,0.8656537634408601,0.8681612903225806,15.190163440860218,True,False,True,medium
Sangli,Bajra,Kharif,2021,60096.44,66247.39,1.1,1.0,0.3910617756159833,0.4489374644937754,0.21228181914333283,5,23.831307526881723,21.12375483870968,27.62827741935484,8.992376344086022,3.5896838709677423,86.94455053763441,0.848389247311828,0.8534021505376345,15.845443010752687,True,False,True,medium
Sangli,Bajra,Kharif,2022,44597.0,50007.0,1.12,1.1,0.3910617756159833,0.5325489343282269,0.21228181914333283,5,23.75626021505376,20.91259139784946,27.86096129032258,8.402746236559139,3.583496774193548,85.26267956989247,0.8287204301075268,0.8284301075268818,15.576062365591396,True,False,True,medium
Sangli,Cotton(lint),Kharif,2020,160.0,80.0,0.5,,0.4114655664617643,0.4842814052968083,0.241067837336053,5,24.018208602150537,21.483017204301078,27.61881290322581,10.206389247311828,3.5106516129032257,87.60144086021505,0.8656537634408601,0.8681612903225806,15.190163440860218,True,False,True,medium
Sangli,Cotton(lint),Kharif,2022,125.0,278.79,2.23,0.5,0.4114655664617643,0.5325489343282269,0.241067837336053,5,23.75626021505376,20.91259139784946,27.86096129032258,8.402746236559139,3.583496774193548,85.26267956989247,0.8287204301075268,0.8284301075268818,15.576062365591396,True,False,True,medium
Sangli,Gram,Rabi,2020,25469.0,30007.41,1.18,,0.3610194403029441,0.4416026277649418,0.270124758829237,5,23.591351305683563,17.218952995391707,31.17669723502304,0.106642242703533,2.010000768049155,59.68129447004608,0.6295167434715822,0.5342457757296467,18.979354070660523,False,False,False,medium
Sangli,Gram,Rabi,2021,24671.68,28409.93,1.15,1.18,0.352758048128316,0.4314032931765532,0.2494919443473436,5,23.16881443932412,16.800684331797235,30.87623947772657,0.8190795698924731,2.0064963133640554,61.3798149001536,0.6134221198156682,0.5246016897081414,17.992391397849463,False,False,False,medium
Sangli,Gram,Rabi,2022,24875.12,26370.12,1.06,1.15,0.3646994031840656,0.4519035360969328,0.2783864131853844,5,23.207301996927804,16.140554531490015,31.58997081413211,0.0290322580645161,2.1873007680491545,52.24020906298004,0.6025909370199692,0.467737173579109,19.55629984639017,False,False,False,medium
Sangli,Groundnut,Kharif,2020,35813.72,50978.31,1.42,,0.4009920640763048,0.4842814052968083,0.2429167809553046,5,24.018208602150537,21.483017204301078,27.61881290322581,10.206389247311828,3.5106516129032257,87.60144086021505,0.8656537634408601,0.8681612903225806,15.190163440860218,True,False,True,medium
